开奖时间	期号	佰	拾	个	开奖号码	总和	大小	单双	龙虎和	番	番数值
2025-12-12 11:46:30	3370845	5	1	5	5,1,5	11	小	单	和	3番	3
2025-12-12 11:50:00	3370846	4	5	1	4,5,1	10	小	双	龙	2番	2
2025-12-12 11:53:30	3370847	7	6	5	7,6,5	18	大	双	龙	2番	2
2025-12-12 11:57:00	3370848	2	1	0	2,1,0	3	小	单	龙	3番	3
2025-12-12 12:00:30	3370849	9	3	2	9,3,2	14	大	双	龙	2番	2
2025-12-12 12:04:00	3370850	9	3	5	9,3,5	17	大	单	龙	1番	1
2025-12-12 12:07:30	3370851	7	0	0	7,0,0	7	小	单	龙	3番	3
2025-12-12 12:11:00	3370852	7	5	1	7,5,1	13	小	单	龙	1番	1
2025-12-12 12:14:30	3370853	4	2	3	4,2,3	9	小	单	龙	1番	1
2025-12-12 12:18:00	3370854	2	2	9	2,2,9	13	小	单	虎	1番	1
2025-12-12 12:21:30	3370855	4	0	3	4,0,3	7	小	单	龙	3番	3
2025-12-12 12:25:00	3370856	9	9	9	9,9,9	27	大	单	和	3番	3
2025-12-12 12:28:30	3370857	0	2	6	0,2,6	8	小	双	虎	4番	4
2025-12-12 12:32:00	3370858	3	4	1	3,4,1	8	小	双	龙	4番	4
2025-12-12 12:35:30	3370859	3	3	4	3,3,4	10	小	双	虎	2番	2
2025-12-12 12:39:00	3370860	1	2	9	1,2,9	12	小	双	虎	4番	4
2025-12-12 12:42:30	3370861	2	4	8	2,4,8	14	大	双	虎	2番	2
2025-12-12 12:46:00	3370862	6	7	8	6,7,8	21	大	单	虎	1番	1
2025-12-12 12:49:30	3370863	6	0	4	6,0,4	10	小	双	龙	2番	2
2025-12-12 12:53:00	3370864	4	0	1	4,0,1	5	小	单	龙	1番	1
2025-12-12 12:56:30	3370865	6	4	9	6,4,9	19	大	单	虎	3番	3
2025-12-12 13:00:00	3370866	2	1	7	2,1,7	10	小	双	虎	2番	2
2025-12-12 13:03:30	3370867	2	5	9	2,5,9	16	大	双	虎	4番	4
2025-12-12 13:07:00	3370868	5	3	0	5,3,0	8	小	双	龙	4番	4
2025-12-12 13:10:30	3370869	7	0	2	7,0,2	9	小	单	龙	1番	1
2025-12-12 13:14:00	3370870	0	4	3	0,4,3	7	小	单	虎	3番	3
2025-12-12 13:17:30	3370871	5	9	4	5,9,4	18	大	双	龙	2番	2
2025-12-12 13:21:00	3370872	6	3	3	6,3,3	12	小	双	龙	4番	4
2025-12-12 13:24:30	3370873	3	1	2	3,1,2	6	小	双	龙	2番	2
2025-12-12 13:28:00	3370874	2	9	0	2,9,0	11	小	单	龙	3番	3
2025-12-12 13:31:30	3370875	2	4	7	2,4,7	13	小	单	虎	1番	1
2025-12-12 13:35:00	3370876	1	1	3	1,1,3	5	小	单	虎	1番	1
2025-12-12 13:38:30	3370877	7	5	6	7,5,6	18	大	双	龙	2番	2
2025-12-12 13:42:00	3370878	5	9	6	5,9,6	20	大	双	虎	4番	4
2025-12-12 13:45:30	3370879	3	1	7	3,1,7	11	小	单	虎	3番	3
2025-12-12 13:49:00	3370880	7	1	1	7,1,1	9	小	单	龙	1番	1
2025-12-12 13:52:30	3370881	8	6	5	8,6,5	19	大	单	龙	3番	3
2025-12-12 13:56:00	3370882	8	2	2	8,2,2	12	小	双	龙	4番	4
2025-12-12 13:59:30	3370883	0	5	5	0,5,5	10	小	双	虎	2番	2
2025-12-12 14:03:00	3370884	4	1	8	4,1,8	13	小	单	虎	1番	1
2025-12-12 14:06:30	3370885	3	1	3	3,1,3	7	小	单	和	3番	3
2025-12-12 14:10:00	3370886	6	8	4	6,8,4	18	大	双	龙	2番	2
2025-12-12 14:13:30	3370887	6	3	9	6,3,9	18	大	双	虎	2番	2
2025-12-12 14:17:00	3370888	8	0	7	8,0,7	15	大	单	龙	3番	3
2025-12-12 14:20:30	3370889	5	3	4	5,3,4	12	小	双	龙	4番	4
2025-12-12 14:24:00	3370890	7	9	6	7,9,6	22	大	双	龙	2番	2
2025-12-12 14:27:30	3370891	5	4	9	5,4,9	18	大	双	虎	2番	2
2025-12-12 14:31:00	3370892	2	9	7	2,9,7	18	大	双	虎	2番	2
2025-12-12 14:34:30	3370893	2	7	0	2,7,0	9	小	单	龙	1番	1
2025-12-12 14:38:00	3370894	5	0	3	5,0,3	8	小	双	龙	4番	4
2025-12-12 14:41:30	3370895	5	3	1	5,3,1	9	小	单	龙	1番	1
2025-12-12 14:45:00	3370896	8	0	0	8,0,0	8	小	双	龙	4番	4
2025-12-12 14:48:30	3370897	1	0	0	1,0,0	1	小	单	龙	1番	1
2025-12-12 14:52:00	3370898	4	3	3	4,3,3	10	小	双	龙	2番	2
2025-12-12 14:55:30	3370899	7	2	7	7,2,7	16	大	双	和	4番	4
2025-12-12 14:59:00	3370900	6	6	8	6,6,8	20	大	双	虎	4番	4
2025-12-12 15:02:30	3370901	1	0	8	1,0,8	9	小	单	虎	1番	1
2025-12-12 15:06:00	3370902	9	1	3	9,1,3	13	小	单	龙	1番	1
2025-12-12 15:09:30	3370903	6	4	4	6,4,4	14	大	双	龙	2番	2
2025-12-12 15:13:00	3370904	8	2	9	8,2,9	19	大	单	虎	3番	3
2025-12-12 15:16:30	3370905	1	8	1	1,8,1	10	小	双	和	2番	2
2025-12-12 15:20:00	3370906	1	7	6	1,7,6	14	大	双	虎	2番	2
2025-12-12 15:23:30	3370907	5	9	5	5,9,5	19	大	单	和	3番	3
2025-12-12 15:27:00	3370908	4	7	9	4,7,9	20	大	双	虎	4番	4
2025-12-12 15:30:30	3370909	1	9	1	1,9,1	11	小	单	和	3番	3
2025-12-12 15:34:00	3370910	2	5	9	2,5,9	16	大	双	虎	4番	4
2025-12-12 15:37:30	3370911	8	4	8	8,4,8	20	大	双	和	4番	4
2025-12-12 15:41:00	3370912	6	5	1	6,5,1	12	小	双	龙	4番	4
2025-12-12 15:44:30	3370913	2	9	5	2,9,5	16	大	双	虎	4番	4
2025-12-12 15:48:00	3370914	3	4	2	3,4,2	9	小	单	龙	1番	1
2025-12-12 15:51:30	3370915	1	2	9	1,2,9	12	小	双	虎	4番	4
2025-12-12 15:55:00	3370916	3	3	3	3,3,3	9	小	单	和	1番	1
2025-12-12 15:58:30	3370917	3	5	0	3,5,0	8	小	双	龙	4番	4
2025-12-12 16:02:00	3370918	8	5	5	8,5,5	18	大	双	龙	2番	2
2025-12-12 16:05:30	3370919	0	2	5	0,2,5	7	小	单	虎	3番	3
2025-12-12 16:09:00	3370920	9	6	7	9,6,7	22	大	双	龙	2番	2
2025-12-12 16:12:30	3370921	3	8	9	3,8,9	20	大	双	虎	4番	4
2025-12-12 16:16:00	3370922	9	8	1	9,8,1	18	大	双	龙	2番	2
2025-12-12 16:19:30	3370923	8	4	3	8,4,3	15	大	单	龙	3番	3
2025-12-12 16:23:00	3370924	6	5	7	6,5,7	18	大	双	虎	2番	2
2025-12-12 16:26:30	3370925	5	0	4	5,0,4	9	小	单	龙	1番	1
2025-12-12 16:30:00	3370926	8	1	9	8,1,9	18	大	双	虎	2番	2
2025-12-12 16:33:30	3370927	3	3	4	3,3,4	10	小	双	虎	2番	2
2025-12-12 16:37:00	3370928	5	4	7	5,4,7	16	大	双	虎	4番	4
2025-12-12 16:40:30	3370929	4	9	9	4,9,9	22	大	双	虎	2番	2
2025-12-12 16:44:00	3370930	6	8	0	6,8,0	14	大	双	龙	2番	2
2025-12-12 16:47:30	3370931	3	3	5	3,3,5	11	小	单	虎	3番	3
2025-12-12 16:51:00	3370932	8	5	8	8,5,8	21	大	单	和	1番	1
2025-12-12 16:54:30	3370933	7	4	0	7,4,0	11	小	单	龙	3番	3
2025-12-12 16:58:00	3370934	5	8	1	5,8,1	14	大	双	龙	2番	2
2025-12-12 17:01:30	3370935	3	3	1	3,3,1	7	小	单	龙	3番	3
2025-12-12 17:05:00	3370936	2	0	7	2,0,7	9	小	单	虎	1番	1
2025-12-12 17:08:30	3370937	9	9	6	9,9,6	24	大	双	龙	4番	4
2025-12-12 17:12:00	3370938	5	4	0	5,4,0	9	小	单	龙	1番	1
2025-12-12 17:15:30	3370939	2	2	9	2,2,9	13	小	单	虎	1番	1
2025-12-12 17:19:00	3370940	1	9	9	1,9,9	19	大	单	虎	3番	3
2025-12-12 17:22:30	3370941	3	4	5	3,4,5	12	小	双	虎	4番	4
2025-12-12 17:26:00	3370942	0	2	3	0,2,3	5	小	单	虎	1番	1
2025-12-12 17:29:30	3370943	2	4	4	2,4,4	10	小	双	虎	2番	2
2025-12-12 17:33:00	3370944	3	7	5	3,7,5	15	大	单	虎	3番	3
2025-12-12 17:36:30	3370945	6	6	5	6,6,5	17	大	单	龙	1番	1
2025-12-12 17:40:00	3370946	0	6	5	0,6,5	11	小	单	虎	3番	3
2025-12-12 17:43:30	3370947	9	7	7	9,7,7	23	大	单	龙	3番	3
2025-12-12 17:47:00	3370948	9	8	2	9,8,2	19	大	单	龙	3番	3
2025-12-12 17:50:30	3370949	3	5	9	3,5,9	17	大	单	虎	1番	1
2025-12-12 17:54:00	3370950	0	5	2	0,5,2	7	小	单	虎	3番	3
2025-12-12 17:57:30	3370951	8	5	7	8,5,7	20	大	双	龙	4番	4
2025-12-12 18:01:00	3370952	3	3	3	3,3,3	9	小	单	和	1番	1
2025-12-12 18:04:30	3370953	8	6	8	8,6,8	22	大	双	和	2番	2
2025-12-12 18:08:00	3370954	6	3	7	6,3,7	16	大	双	虎	4番	4
2025-12-12 18:11:30	3370955	1	1	9	1,1,9	11	小	单	虎	3番	3
2025-12-12 18:15:00	3370956	9	7	4	9,7,4	20	大	双	龙	4番	4
2025-12-12 18:18:30	3370957	6	3	8	6,3,8	17	大	单	虎	1番	1
2025-12-12 18:22:00	3370958	0	4	2	0,4,2	6	小	双	虎	2番	2
2025-12-12 18:25:30	3370959	1	9	9	1,9,9	19	大	单	虎	3番	3
2025-12-12 18:29:00	3370960	1	9	7	1,9,7	17	大	单	虎	1番	1
2025-12-12 18:32:30	3370961	9	8	8	9,8,8	25	大	单	龙	1番	1
2025-12-12 18:36:00	3370962	3	9	7	3,9,7	19	大	单	虎	3番	3
2025-12-12 18:39:30	3370963	8	8	7	8,8,7	23	大	单	龙	3番	3
2025-12-12 18:43:00	3370964	3	0	7	3,0,7	10	小	双	虎	2番	2
